NUMERO_REGISTRAZIONE,FORMULATO COMMERCIALE,PRODUTTORE,SOSTANZE_ATTIVE,SOSTANZA ATTIVA_PER_100G_DI_PRODOTTO
90,DEMETOX MR,DOW AGROSCIENCES ITALIA S.R.L.,DEMETON-S-METHYL,-
91,DM 15-16,CHEMIA S.P.A.,LINDANE (LINDANO)|PARATHION-METHYL,-
92,DIFEN 80,SIPCAM S.P.A.,DIPHENAMID,80.0 g
93,DERATTIZZANTE CD AGRICOLO,LIBCO,WARFARIN,1.0 g
94,FOSFURO DI ZINCO,SAFFA,ZINC PHOSPHIDE (ZINCO FOSFURO),-
95,AZETIL E 30 P.B.,DOW AGROSCIENCES ITALIA S.R.L.,AZINFOS ETILE,-
96,KELON 42,DOW AGROSCIENCES ITALIA S.R.L.,DICOFOL,-
97,ELKAR EC,ISAGRO S.P.A.,DICOFOL,-
98,KERALON,ISAGRO S.P.A.,DICOFOL,-
100,ELKAR AP,ISAGRO S.P.A.,DICOFOL,-
101,K 42,SIPCAM S.P.A.,DICOFOL,42.0 g
102,K 20,SIPCAM S.P.A.,DICOFOL,18.5 g
103,KARATHANE W.D.,DOW AGROSCIENCES ITALIA S.R.L.,DINOCAP,-
104,KELTHANE W,DOW AGROSCIENCES ITALIA S.R.L.,DICOFOL,-
105,KELTANE EC,DOW AGROSCIENCES ITALIA S.R.L.,DICOFOL,-
106,MUFFAR,DOW AGROSCIENCES ITALIA S.R.L.,DICHLOFLUANID,-
107,MICENE E BLU,SIPCAM S.P.A.,ZIREB,-
108,METHOXONE,SOLPLANT S.P.A.,"MECOPROP|2,4-D",-
109,MELPREX 5 GRANULARE,BASF AGRO S.P.A.,DODINE,-
110,MALATHIR GRANULARE,ISAGRO S.P.A.,CARBARIL|MALATHION|PARATHION-METHYL,-
111,MARAZIN,DOW AGROSCIENCES ITALIA S.R.L.,MANEB|COPPER OXYCHLORIDE|ZINEB,-
112,M-45 DUST 16%,ROHM AND HAAS ITALIA S.R.L.,MANCOZEB,-
113,MIXAN BLU,ISAGRO S.P.A.,COPPER OXYCHLORIDE|ZINEB|ZIRAM|SULPHUR (ZOLFO),-
114,MALATHIR 50,ISAGRO S.P.A.,LINDANE (LINDANO)|PARATHION-METHYL,-
115,NABAM 90,DOW AGROSCIENCES ITALIA S.R.L.,NABAM,-
116,PARAMAAG C 97%,DU PONT DE NEMOURS ITALIANA S.R.L.,PARAFFIN OIL/(CAS 8012-95-1),-
117,NOGAL,DOW AGROSCIENCES ITALIA S.R.L.,THIONAZIN,-
118,NABAM PB 90,ISAGRO S.P.A.,NABAM,-
119,ACARION EC,DU PONT DE NEMOURS ITALIANA S.R.L.,PROPARGITE,57.0 g
120,ACARION WP,DU PONT DE NEMOURS ITALIANA S.R.L.,PROPARGITE,-
121,PERTHANE E.C.,DOW AGROSCIENCES ITALIA S.R.L.,PERTANE,47.0 g
122,POSTGRAN,DOW AGROSCIENCES ITALIA S.R.L.,METHOPROTHRYNE,-
123,PULITER,DOW AGROSCIENCES ITALIA S.R.L.,METHYLISOTHIOCYANATE,-
124,ROTHANE WP 50,DOW AGROSCIENCES ITALIA S.R.L.,DDT,-
125,RUMITION E 20,ISAGRO S.P.A.,AZINFOS ETILE,20.0 g
126,SEDIT P.B.,CHIMIBERG S.R.L.,CARBARIL,-
127,SERFUM,DOW AGROSCIENCES ITALIA S.R.L.,METAM SODIUM,-
130,TEPCIDE,DOW AGROSCIENCES ITALIA S.R.L.,TETRAETHYL PYROPHOSPHATE (TEPP)|CHLORBENSIDE,-
131,TRIDIT 25,DOW AGROSCIENCES ITALIA S.R.L.,DDT,-
132,TREMOTAL,SIPCAM S.P.A.,MONOCROTOPHOS,18.0 g
133,U 46 D-FLUID,NUFARM B.V.,"2,4-D",49.8 g
134,ZIRVAL 80 PB,SCAM S.P.A.,ZIRAM,80.0 g
135,ZINEB 80,AGRICHIMICA S.R.L.,ZINEB,-
136,ZOLFO ZETA 505,SOCHIMISI S.P.A.,SULPHUR (ZOLFO),-
137,U 46 KV COMBI FLUID,BASF A.G. (AKTIENGESELLSHAFT),"MECOPROP|2,4-D",38.0 g|11.5 g
138,U 46 KV-FLUID,BASF A.G. (AKTIENGESELLSHAFT),MECOPROP,51.0 g
139,U 46 KV-ESTER,BASF A.G. (AKTIENGESELLSHAFT),MECOPROP,52.0 g
140,TOPICIDA ASTERIAS ESCA,DOW AGROSCIENCES ITALIA S.R.L.,WARFARIN,-
141,TIOCOMPLEX,PASQUALE MORMINO & FIGLIO S.R.L.,COPPER OXYCHLORIDE|ZINEB|SULPHUR (ZOLFO),2.0 g|3.0 g|59.0 g
142,VENTILENE ACUPRIZZATA 6%,PASQUALE MORMINO & FIGLIO S.R.L.,MANCOZEB|SULPHUR (ZOLFO),-
143,VENTILENE ACUPRIZZATA 8%,PASQUALE MORMINO & FIGLIO S.R.L.,COPPER OXYCHLORIDE|ZINEB,-
144,ZES BLU,PASQUALE MORMINO & FIGLIO S.R.L.,ZINEB|SULPHUR (ZOLFO),-
145,ZOLFO R 505,SOCHIMISI S.P.A.,SULPHUR (ZOLFO),-
146,ACARMID,BASF AGRO S.P.A.,DICOFOL,19.0 g
147,ACARMID T,BASF AGRO S.P.A.,DICOFOL|TETRADIFON,-
148,ACCOTHION 50 E,SUMITOMO CHEMICAL AGRO EUROPE S.A.S.,FENITROTHION,47.0 g
149,AGRODIT E,AGRONOVA S.R.L.,DDT,-
150,ESACYAN 20 C,BASF AGRO S.P.A.,ESACLOROCICLOESANO (BHC),-
151,EZINE BLU,PASQUALE MORMINO & FIGLIO S.R.L.,ZINEB,-
152,AGROPTAN,IQV INDUSTRIAS QUIMICAS DEL VALLES S.A.,CAPTAN,45.0 g
153,AGROTEPP,AGRONOVA S.R.L.,TETRAETHYL PYROPHOSPHATE (TEPP),-
154,AMINER,CHEMINOVA AGRO ITALIA S.R.L.,DICHLORVOS,45.0 g
155,ATOXAN GRANULARE,SIAPA S.R.L.,CARBARIL,5.0 g
156,BAGNANTE ADESIVO CYANAMID,BASF AGRO S.P.A.,-,-
157,BRUMOLIN,DU PONT DE NEMOURS ITALIANA S.R.L.,MALATHION|PARATHION,-
158,CYANADIT 75 PB,BASF AGRO S.P.A.,DDT,-
159,CYANAFOS,BASF AGRO S.P.A.,MALATHION|PARATHION,-
161,CYANALIN 1 PS,BASF AGRO S.P.A.,LINDANE (LINDANO),-
162,CYANALIN 15 PB,BASF AGRO S.P.A.,LINDANE (LINDANO),-
163,CLEOSAR,S.A.R.I.A.F. S.P.A.,CARBARIL,50.0 g
164,COTNION,CHEMINOVA AGRO ITALIA S.R.L.,AZINFOS METILE,25.0 g
165,ZOLFO ZETAERRE 506 SCORREVOLE ADESIVO,SOCHIMISI S.P.A.,SULPHUR (ZOLFO),-
166,SARTION,SUMITOMO CHEMICAL ITALIA S.R.L.,AZINFOS METILE,25.0 g
167,ZOLFO RAMATO R/103,SOCHIMISI S.P.A.,COPPER OXYCHLORIDE|SULPHUR (ZOLFO),-
169,ZOLFO BAGNABILE 90%,SOCHIMISI S.P.A.,SULPHUR (ZOLFO),-
170,DITHANE A 40,ROHM AND HAAS ITALIA S.R.L.,NABAM,-
171,DIELDRIN AGRO,AGRONOVA S.R.L.,DIELDRIN,-
172,CROTHION,DU PONT DE NEMOURS ITALIANA S.R.L.,MONOCROTOPHOS,-
173,CRITTOX P 10 M,CAFFARO S.P.A.,MANEB|ZINEB,3.0 g|8.0 g
174,GEMAFOS 50,SCAM S.P.A.,PARATHION,20.0 g
175,FITOSAN 10,SCAM S.P.A.,MALATHION,10.0 g
177,ACANOS 450,NUFARM S.A.S.,"2,4-D",40.1 g
178,TRISCAM,SCAM S.P.A.,DNOC,-
179,CUPERSCAM,SCAM S.P.A.,COPPER OXYCHLORIDE|ZINEB,30.0 g|14.0 g
180,CUPROSSIL 8,SCAM S.P.A.,COPPER OXYCHLORIDE|ZINEB|SULPHUR (ZOLFO),4.0 g|2.0 g|18.0 g
183,VAPOSIL 25,SCAM S.P.A.,DICHLORVOS,-
184,CUPROSCAM BLEU,SCAM S.P.A.,COPPER OXYCHLORIDE|ZINEB,30.0 g|14.0 g
185,EMULTHION,SCAM S.P.A.,AZINFOS ETILE,-
186,ZIRZIB,SCAM S.P.A.,ZINEB|ZIRAM,-
187,FLORITHION,SIPCAM S.P.A.,DIALIFOS,-
188,M-45 DUST 10%,ROHM AND HAAS ITALIA S.R.L.,MANCOZEB,-
189,MICOZEB 75 WDG,INDOFIL INDUSTRIES (NETHERLANDS) B.V.,MANCOZEB,75.0 g
190,KARATHANE POLVERE,INTERNAZIONALE B.P.D. S.R.L.,DINOCAP,-
191,KARATHANE,AVENTIS CROPSCIENCE ITALIA S.P.A.,DINOCAP,-
192,MANEB 80,DOW AGROSCIENCES ITALIA S.R.L.,MANEB,80.0 g
193,OLIOTHION,BASF AGRO S.P.A.,PARAFFIN OIL/(CAS 8012-95-1)|PARATHION,85.0 g|4.0 g
194,OBEN,CHEMINOVA AGRO ITALIA S.R.L.,SULPHUR (ZOLFO),80.0 g
195,REDREX 35 PB,INTERNAZIONALE B.P.D. S.R.L.,DICOFOL,-
196,OSSICLORURO 50,ISAGRO COPPER S.R.L.,COPPER OXYCHLORIDE,50.0 g
198,POLYRAM COMBI BLU,BASF A.G. (AKTIENGESELLSHAFT),METIRAM,71.0 g
199,POLYSAR 25 PB,GOWAN ITALIA S.R.L.,PARATHION-METHYL,20.0 g
200,MANTEB,SCAM S.P.A.,MANEB,80.0 g
201,ZIRCAM PASTA,SCAM S.P.A.,ZIRAM,48.0 g
202,ORTHOSCAM  50,SCAM S.P.A.,CAPTAN,48.0 g
203,EZITAN,SYNGENTA ITALIA S.P.A.,SECBUMETON,45.0 g
204,MEVINSAR,S.A.R.I.A.F. S.P.A.,MEVINPHOS,-
205,ZIRCAM 90,SCAM S.P.A.,ZIRAM,86.0 g
206,ALBENE,SCAM S.P.A.,PARAFFIN OIL/(CAS 8042-47-5),78.1 g
207,GOLPEX,SCAM S.P.A.,HEXACHLOROBENZENE,-
208,PASTA SARIAF,GOWAN ITALIA S.R.L.,COPPER OXYCHLORIDE,32.0 g
209,NAFTENE 5,CHEMINOVA AGRO ITALIA S.R.L.,CARBARIL,5.0 g
210,MANEB AGRO,CHEMINOVA AGRO ITALIA S.R.L.,MANEB,72.0 g
211,MALAFID PG,ISAGRO S.P.A.,MALATHION,-
213,PIPERIL,SCAM S.P.A.,PIPERONYL BUTOXIDE|PYRETHRINS,16.0 g|4.0 g
214,SALVAGRANO POLVERE,SCAM S.P.A.,LINDANE (LINDANO),-
215,DIMEXOL,SCAM S.P.A.,LINDANE (LINDANO)|PARATHION-METHYL,-
216,FOSCLOR,AGRONOVA S.R.L.,LINDANE (LINDANO)|PARATHION,-
218,PARALBENE,SCAM S.P.A.,PARAFFIN OIL/(CAS 8012-95-1)|PARATHION,80.0 g|3.0 g
219,ENDAMON,DU PONT DE NEMOURS ITALIANA S.R.L.,ENDOSULFAN,35.0 g
220,SEED PROTECTANT,CAFFARO S.P.A.,CAPTAN|METHOXYCHLOR,-
221,SIAPRIT BIANCO,CAFFARO S.P.A.,ZINEB|SULPHUR (ZOLFO)|ETEM,-
222,DINOCOL PB,BAYER CROPSCIENCE S.R.L.,DINOCAP,18.0 g
223,KARATHANE POLVERE 1%,DOW AGROSCIENCES ITALIA S.R.L.,DINOCAP,-
225,DIPTEREX GRANULARE,BAYER CROPSCIENCE S.R.L.,TRICHLORFON,5.0 g
226,DIPTEREX MR,BAYER CROPSCIENCE S.R.L.,DICHLORVOS|OXYDEMETON-METHYL,-
227,AGHERUD DICAMBA,DU PONT DE NEMOURS ITALIANA S.R.L.,MCPA|DICAMBA,35.8 g|3.1 g
228,FENISUPER,SIPCAM S.P.A.,DICAMBA,41.0 g
229,SILFUR GD 50,TAMINCO ITALIA S.R.L.,THIRAM,49.0 g
230,TIOSOL 80,SIPCAM S.P.A.,SULPHUR (ZOLFO),80.0 g
231,TIOZINEB,CHEMINOVA AGRO ITALIA S.R.L.,ZINEB|SULPHUR (ZOLFO),45.0 g|20.0 g
232,TIOPHOS M,BASF AGRO S.P.A.,PARATHION-METHYL,20.0 g
233,RACNICID,SCAM S.P.A.,TETRAETHYL PYROPHOSPHATE (TEPP),-
234,ROGATOX,SCAM S.P.A.,DIMETHOATE,38.0 g
235,SYLLIT,ARYSTA LIFESCIENCE BENELUX SPRL,DODINE,40.0 g
236,DITHANE M-22 CONC. 70,AVENTIS CROPSCIENCE ITALIA S.P.A.,MANEB,-
237,CUPROSPOR Z 80 BLEU,SIVAM S.P.A.,COPPER OXYCHLORIDE|ZINEB,30.0 g|13.0 g
239,TRITON B-1956,ROHM AND HAAS ITALIA S.R.L.,-,-
241,SAITOFOS,CAFFARO S.P.A.,METHOXYCHLOR|MALATHION|PARATHION,27.0 g|20.0 g|10.0 g
246,TRIAMON,DU PONT DE NEMOURS ITALIANA S.R.L.,SIMAZINE,-
249,DITHANE Z-78 POLVERE 8%,NUOVE AZIENDE AGRARIE S.P.A.,ZINEB,-
250,DUE ZETA D,CAFFARO S.P.A.,METHOXYCHLOR|ZINEB|SULPHUR (ZOLFO),-
254,ACARSIVAM K,CHEMINOVA AGRO ITALIA S.R.L.,DICOFOL,19.0 g
255,ACARSIVAM KT,SIVAM S.P.A.,DICOFOL|TETRADIFON,16.0 g|6.0 g
257,ACARTHANE WP,AVENTIS CROPSCIENCE ITALIA S.P.A.,DICOFOL|DINOCAP,-
258,ZOLFORAMATO R/105,SOCHIMISI S.P.A.,SULPHUR (ZOLFO),-
259,SEMEFIL NT,SIPCAM S.P.A.,LINDANE (LINDANO),-
261,AFIDAN 35,TECNITERRA S.R.L.,ENDOSULFAN,33.0 g
266,APATON RAMATO BLU,TECNITERRA S.R.L.,COPPER OXYCHLORIDE|ZINEB,25.0 g|18.0 g
267,CROTOS 20,SIAPA S.R.L.,MONOCROTOPHOS,15.0 g
268,APATON MICRONIZZATO BLU,TECNITERRA S.R.L.,ZINEB,65.0 g
269,APATON AZZURRO,TECNITERRA S.R.L.,ZINEB,65.0 g
270,DICUSAT GRANULI RODENTICIDI,CHIMIBERG S.R.L.,WARFARIN,-
272,SARALDRIN,S.A.R.I.A.F. S.P.A.,ALDRIN,-
274,FREOL CAFFARO 50,CAFFARO S.P.A.,DDT,-
275,FREOL CAFFARO 25,CAFFARO S.P.A.,DDT,-
276,ACARSTIN,SIPCAM S.P.A.,CYHEXATIN,-
278,AGRODIT 50,AGRONOVA S.R.L.,DDT,-
283,FONOFOS SIPCAM 5 G,SIPCAM S.P.A.,FONOFOS,5.0 g
284,EZINE BIANCO,PASQUALE MORMINO & FIGLIO S.R.L.,ZINEB,-
285,FENILENE,SCAM S.P.A.,FENTIN ACETATE,19.0 g
286,FUNGISAN 50,AVENTIS CROPSCIENCE ITALIA S.P.A.,DICLORAN,50.0 g
287,LINDANO 25 PB,SYNGENTA ITALIA S.P.A.,LINDANE (LINDANO),-
288,IPOCIDE V,SCAM S.P.A.,METAM SODIUM,29.0 g
289,LINDANE 25,FIVAT INDUSTRIA CHIMICA S.P.A.,LINDANE (LINDANO),-
290,MAITOX,DU PONT DE NEMOURS ITALIANA S.R.L.,CYHEXATIN,-
291,NEOMITISCAM K,SCAM S.P.A.,DINOCAP|PROTHOATE,-
292,MINAR E,AVENTIS CROPSCIENCE ITALIA S.P.A.,DICOFOL|DINOCAP,-
293,TRIMATON BC,UPL  ITALIA S.R.L.,METAM SODIUM,33.0 g
294,PANDAR 20 PB,DOW AGROSCIENCES ITALIA S.R.L.,FENTIN ACETATE,-
295,FENITROCAP,UPL  ITALIA S.R.L.,FENITROTHION,22.9 g
296,RACUMIN 57 ESCA,BAYER CROPSCIENCE S.R.L.,COUMATETRALYL,0.0 g
297,RACUMIN 57,BAYER CROPSCIENCE S.R.L.,COUMATETRALYL,1.0 g
298,CUPRIN,PASQUALE MORMINO & FIGLIO S.R.L.,COPPER OXYCHLORIDE,14.0 g
299,R6 ERRESEI BLU POLVERE,AVENTIS CROPSCIENCE ITALIA S.P.A.,COPPER OXYCHLORIDE|ZINEB,-
300,CUPRIN S,PASQUALE MORMINO & FIGLIO S.R.L.,COPPER OXYCHLORIDE,-
301,NEMAFOS 10 E,BASF AGRO S.P.A.,THIONAZIN,-
302,SIVAMDIT 10,SIVAM S.P.A.,DDT,-
303,ACARSIVAM 34 BIS,SIVAM S.P.A.,TETRAETHYL PYROPHOSPHATE (TEPP)|DICOFOL|TETRADIFON,-
304,ACARICIDA H,TECNITERRA S.R.L.,FENSON|DICOFOL,12.0 g|11.0 g
305,HS 186,TECNITERRA S.R.L.,DICOFOL|TETRADIFON,-
306,TORAK,CAFFARO S.P.A.,DIALIFOS,-
307,TECNOSAN 40,TECNITERRA S.R.L.,BINAPACRYL,-
308,TIONEB BLU,TECNITERRA S.R.L.,ZINEB|SULPHUR (ZOLFO),32.0 g|20.0 g
309,NEXION EC 40,SHELL ITALIA S.P.A.,BROMOFOS,-
310,TRICARBASUL,UPL  ITALIA S.R.L.,MANEB|ZINEB|SULPHUR (ZOLFO),15.0 g|10.0 g|60.0 g
311,TIONEB,TECNITERRA S.R.L.,ZINEB|SULPHUR (ZOLFO),32.0 g|20.0 g
312,TRIMANZONE,UPL  ITALIA S.R.L.,FERBAM|MANEB|ZINEB,-
313,TRIMASTAN WP,AKZO NOBEL CHEMICALS S.P.A.,FENTIN ACETATE|MANEB,-
314,TIOCUPRIN S,PASQUALE MORMINO & FIGLIO S.R.L.,COPPER OXYCHLORIDE|SULPHUR (ZOLFO),-
317,CUPROMIX S,PASQUALE MORMINO & FIGLIO S.R.L.,COPPER OXYCHLORIDE|SULPHUR (ZOLFO),-
318,ALIMET PB,BASF AGRO S.P.A.,FOLPET|COPPER OXYCHLORIDE,24.0 g|17.0 g
319,AMPELOSAN R BLU,DOW AGROSCIENCES ITALIA S.R.L.,COPPER OXYCHLORIDE|ZINEB,30.0 g|13.0 g
322,AZODRIN 20,BASF AGRO S.P.A.,MONOCROTOPHOS,16.0 g
323,BENDEX,MARGESIN S.P.A.,MEVINPHOS,-
324,DICLESIL,SIPCAM S.P.A.,DICHLOBENIL|SIMAZINE,-
325,CUPROZINEB 40-40,SOCHIMISI S.P.A.,ZINEB,-
326,CUPROTEHEX M 50,AVENTIS CROPSCIENCE ITALIA S.P.A.,-,-
327,CARIEFIT,SIPCAM S.P.A.,HEXACHLOROBENZENE,-
328,DICLESIL G,SIPCAM S.P.A.,DICHLOBENIL,-
329,DESORMONE PESANTE,NUFARM GMBH & CO KG,"2,4-D",32.6 g
330,ATRED,ISAGRO S.P.A.,ATRAZINE,-
331,ATRAZIN 50 SCHERING,AVENTIS CROPSCIENCE ITALIA S.P.A.,ATRAZINE,-
332,DIURON SIPCAM,SIPCAM S.P.A.,DIURON,80.0 g
333,DICOCIDE,DOW AGROSCIENCES ITALIA S.R.L.,DICOFOL|CHLORBENSIDE,-
334,DALAPON PB,AVENTIS CROPSCIENCE ITALIA S.P.A.,DALAPON,-
336,CYCLOR L SINERGIZZATO,CAFFARO S.P.A.,ATRAZINE,-
337,LARVASOL,TECNITERRA S.R.L.,LINDANE (LINDANO)|DIMETHOATE,-
338,REDRAN PB 25,AVENTIS CROPSCIENCE ITALIA S.P.A.,CYHEXATIN,-
340,NOVAFOS M 20,CHEMINOVA A/S,PARATHION-METHYL,16.0 g
342,TURCAN S,DU PONT DE NEMOURS ITALIANA S.R.L.,ATRAZINE|SIMAZINE,-
343,CHELAMON,DU PONT DE NEMOURS ITALIANA S.R.L.,-,-
344,ADESIVO SIPCAM,SIPCAM S.P.A.,ALUMINIUM SULPHATE,57.0 g
345,ACUPRILENE,SOCHIMISI S.P.A.,ZINEB,-
346,BAGIR MAX,SUMITOMO CHEMICAL ITALIA S.R.L.,SORBITAN MONOLEATO,12.0 g
347,BAGNANTE ADESIVO B.P.D.,AVENTIS CROPSCIENCE ITALIA S.P.A.,-,-
348,CUPROLENT,AGROCHIMICA S.P.A.,COPPER OXYCHLORIDE,-
349,POLADAN,SUMITOMO CHEMICAL ITALIA S.R.L.,DALAPON,80.0 g
350,SIB-TIPO D.,SOCIETA' ELETTROCHIMICA DI BORGOFRANCO S.R.L.,SODIO CLORATO,95.0 g
351,SIB TIPO F.S.,SOCIETA' ELETTROCHIMICA DI BORGOFRANCO S.R.L.,SODIO CLORATO,70.0 g
352,RADISOL,SOCIETA' ELETTROCHIMICA DI BORGOFRANCO S.R.L.,SODIO CLORATO,80.0 g
353,APAREX 65,TECNITERRA S.R.L.,DODINE,62.0 g
354,ANITEN D,SOLPLANT S.P.A.,"FLURENOL|2,4-D",-
355,ANITEN M,SYNGENTA ITALIA S.P.A.,FLURENOL|MCPA,8.0 g|25.0 g
356,MANEZINE,IQV ITALIA S.R.L.,MANCOZEB,80.0 g
357,FUMATHANE S,TAMINCO ITALIA S.R.L.,METAM SODIUM,39.1 g
